[12/1000][5/11] Loss_D: 4.3173 Loss_G: 0.1387 D(x): 0.2362 D(G(z)): 0.9102 / 0.8793
[12/1000][6/11] Loss_D: 4.4557 Loss_G: 0.1263 D(x): 0.2297 D(G(z)): 0.9114 / 0.8862
[12/1000][7/11] Loss_D: 4.3317 Loss_G: 0.1307 D(x): 0.2659 D(G(z)): 0.9220 / 0.8828
[12/1000][8/11] Loss_D: 4.5631 Loss_G: 0.1195 D(x): 0.2223 D(G(z)): 0.9230 / 0.8928
[12/1000][9/11] Loss_D: 4.7332 Loss_G: 0.1290 D(x): 0.2216 D(G(z)): 0.9335 / 0.8854
[12/1000][10/11] Loss_D: 4.4887 Loss_G: 0.1099 D(x): 0.1838 D(G(z)): 0.9196 / 0.9037
[13/1000][0/11] Loss_D: 4.5265 Loss_G: 0.1065 D(x): 0.2185 D(G(z)): 0.9220 / 0.9031
[13/1000][1/11] Loss_D: 4.5618 Loss_G: 0.1097 D(x): 0.2225 D(G(z)): 0.9241 / 0.8993
[13/1000][2/11] Loss_D: 4.5392 Loss_G: 0.1249 D(x): 0.2099 D(G(z)): 0.9164 / 0.8886
[13/1000][3/11] Loss_D: 4.5203 Loss_G: 0.1153 D(x): 0.1988 D(G(z)): 0.9197 / 0.8939
[13/1000][4/11] Loss_D: 4.3851 Loss_G: 0.1162 D(x): 0.2401 D(G(z)): 0.9115 / 0.8952
[13/1000][5/11] Loss_D: 4.5898 Loss_G: 0.1179 D(x): 0.2181 D(G(z)): 0.9227 / 0.8927
[13/1000][6/11] Loss_D: 4.5680 Loss_G: 0.1360 D(x): 0.2137 D(G(z)): 0.9231 / 0.8790
[13/1000][7/11] Loss_D: 4.6029 Loss_G: 0.1253 D(x): 0.2000 D(G(z)): 0.9209 / 0.8879
[13/1000][8/11] Loss_D: 4.4607 Loss_G: 0.1264 D(x): 0.2158 D(G(z)): 0.9071 / 0.8876
[13/1000][9/11] Loss_D: 4.4226 Loss_G: 0.1210 D(x): 0.2134 D(G(z)): 0.9097 / 0.8907
[13/1000][10/11] Loss_D: 4.4793 Loss_G: 0.1015 D(x): 0.1992 D(G(z)): 0.9040 / 0.9054
[14/1000][0/11] Loss_D: 4.6098 Loss_G: 0.1245 D(x): 0.1978 D(G(z)): 0.9212 / 0.8867
[14/1000][1/11] Loss_D: 4.5661 Loss_G: 0.1226 D(x): 0.2180 D(G(z)): 0.9236 / 0.8892
[14/1000][2/11] Loss_D: 4.4278 Loss_G: 0.1167 D(x): 0.2016 D(G(z)): 0.9113 / 0.8937
[14/1000][3/11] Loss_D: 4.6030 Loss_G: 0.1318 D(x): 0.1881 D(G(z)): 0.9156 / 0.8830
[14/1000][4/11] Loss_D: 4.7195 Loss_G: 0.1187 D(x): 0.2051 D(G(z)): 0.9285 / 0.8956
